Sa [cm/s^2],EDP [cm]
243.0327356,3.679411119
126.5446933,1.83047075
127.6187097,3.759634108
230.6401148,3.494201962
308.7391179,3.829675602
744.4561817,6.255002354
160.1789226,2.667162971
239.8009783,5.804530511
211.103594,4.168652686
88.07555144,1.440914125
178.3875812,2.978026505
94.02362313,2.458153167
326.4559293,7.273639819
144.2904837,2.600251892
230.1197169,3.058049368
169.7102863,3.258808406
253.3305431,3.0248474
165.2955459,3.724499146
276.6540839,3.384258871
311.2444594,4.00657495
492.7394583,3.93216319
200.2602037,2.670140007
79.93389173,1.870021463
147.6304532,3.722449861
416.2150235,7.730510043
132.2709224,1.665723784
345.5902568,4.628948211
232.7387294,3.79805333
432.6744302,5.952946286
86.92332335,1.966753746
199.9223268,3.570133447
124.0586984,2.10652724
866.9702865,9.312640816
324.1269493,4.051264178
421.0356638,4.910382493
133.1470021,3.22475364
175.9065323,2.274407494
192.9842268,3.026879563
368.7770925,3.922784653
192.4923497,3.914671959
305.733076,3.506287033
83.26924564,1.163696056
185.7061967,2.316523544
148.7506412,3.163701627
104.2035725,3.678460212
279.0176919,3.743316013
250.7663411,4.970782551
222.9913559,5.591320198
116.8994309,3.155701856
373.8756961,8.143802806
258.9760953,3.524775304
190.5747923,4.303085304
221.8786151,3.452105652
193.9414215,2.273808541
96.01948748,1.824050683
191.7863022,3.623010426
148.2049687,4.398476574
138.2079687,3.283770497
127.1103875,2.616486857
170.5921571,3.913115621
85.22639886,1.605660564
346.1254053,3.624252164
280.615141,3.653421465
217.4256571,2.669188188
215.9166742,4.642546574
150.5478031,2.67787017
355.1446072,3.809248892
206.1055439,3.303273482
156.6145167,2.295039904
415.5846602,5.351437016
197.3818627,4.873662233
166.1800426,4.375509203
191.0536385,2.722284903
147.0501582,2.475245503
129.3071698,2.769203422
723.8262141,8.946566765
479.7873156,5.647042834
253.8113917,5.275908094
121.2045085,1.643074966
145.8366762,5.222267801
201.9310784,3.130581385
318.9924552,5.308846662
116.991881,1.92427055
73.02000287,1.259506994
110.6964891,2.969645324
256.9449466,4.131322855
264.0624576,4.42837545
271.6956236,4.400231869
206.3912826,4.173417919
239.3887849,6.08226602
175.2813239,3.676470308
329.8111283,5.855456276
115.3625217,3.144089111
272.1259333,5.376059215
146.9957688,2.026284485
187.3771856,3.037333725
284.9865413,2.901599826
358.5844349,6.055222095
