Sa [cm/s^2],EDP [cm]
327.3931864,5.178439928
154.3057721,2.768634022
218.9977007,4.158828255
403.0254865,2.480404096
239.9055506,3.451180733
354.6893892,5.222328186
296.855121,4.439927093
243.2123544,6.482882337
158.8293926,3.386936452
268.9323071,7.466333262
114.2601935,1.92506957
255.451606,3.576230061
267.0339422,4.602633128
293.0796366,5.026689037
392.5249549,6.451450679
592.9588544,5.330716051
310.6994698,4.653416241
241.8788616,3.780417208
438.154777,4.393472856
241.4826315,3.258148062
80.61183701,1.489756262
126.2547074,2.154237491
367.7602212,12.15823825
215.4478145,4.0773173
354.4626769,5.600923076
149.8154169,2.778441161
233.5540224,7.023640319
256.7063927,4.133410008
91.49868057,1.823339937
251.9110144,5.84661317
185.8667612,3.717836223
100.7026083,1.63015007
216.7980667,3.491322313
145.615395,2.429322366
126.9119827,2.307225024
148.8512216,2.353364334
133.5679394,2.292357406
144.7486683,2.85740786
97.36736149,1.689344524
258.4228404,3.114921501
167.1029674,7.557828207
229.7727903,4.083791602
279.3558803,3.993423176
219.262807,3.636538652
229.0101288,4.386376412
205.6559186,3.593906918
127.1614301,2.222167306
217.0003314,3.859699025
360.3314141,4.35434084
377.0080887,7.053469366
164.3925388,3.19874662
149.5831629,2.606236161
237.1285396,4.620181101
260.0933403,4.130648903
198.8108708,3.743675499
148.9701377,2.371853966
472.9550236,5.937365767
113.7618042,2.096603707
121.6315138,2.000774789
132.3310044,2.058719946
138.9253026,2.354567057
253.8670703,4.13403359
239.6306611,4.681989169
101.8686306,1.708057379
442.618362,8.529781947
292.6241908,4.048686897
296.5112505,4.478105748
106.7066562,1.889566073
365.9789482,9.967816686
447.7978312,4.626721963
607.3149989,8.645522171
364.8160979,5.602485094
318.9457669,4.529002981
222.9975308,5.045103596
141.823396,2.512513151
194.3996409,3.294130176
130.0502171,2.485443393
90.82805874,1.617606684
455.9477305,10.55851948
171.6356232,3.019765051
170.2916508,3.239983368
178.9908201,3.284052785
211.0888995,3.203222189
262.7072344,5.570556391
87.12168326,1.70309987
352.6175514,3.646624806
235.4442704,4.200316353
361.1496799,4.665884933
182.4711477,3.450542176
205.863353,3.502275811
102.8338772,1.958841868
141.6959078,2.500192681
267.6776203,4.681474527
178.5006138,2.820651636
400.4726734,5.154679048
125.4486413,2.132614363
641.5970714,8.294523276
230.1518727,6.736195702
283.8604003,4.998890489
1036.379706,8.902768826
168.5001059,4.262588765
198.2082533,3.594549033
210.5306588,4.182608041
308.2779239,4.66022654
337.1390639,5.146154524
119.8850449,1.902174555
141.9558083,2.713915505
185.2169189,3.042358237
103.9088441,2.014187707
225.2577316,8.07182595
179.6685766,3.085197333
141.3247341,2.401264555
149.7026328,2.253387079
407.8255462,8.540332185
272.1027655,5.101113626
211.4402669,3.521629854
416.099005,10.17428856
121.0956862,2.255811215
299.8684139,5.34049257
295.836175,4.827628209
236.2434521,5.230977839
143.5111725,2.191235354
246.5555813,4.083845405
171.3169673,2.808738312
130.1047345,2.145861795
150.600193,2.390405785
396.75796,8.243423383
109.865129,1.777243374
157.817901,3.528384909
102.6191657,1.913221646
204.8062815,2.589397308
76.98860597,1.223555389
399.100904,7.639013995
146.6552817,2.547166889
117.6415393,2.269992888
173.0456422,2.750181108
208.3419525,4.155444711
120.3499591,2.034164695
750.9109375,15.95422393
178.7946005,4.000278599
170.7139137,3.002891431
106.1525275,2.119464646
170.9228215,3.084737463
99.19611617,1.88558332
220.9077792,3.863056185
307.0871782,4.079556906
257.0879389,6.092014012
116.4725472,2.080425803
113.3316247,3.026885964
314.725323,4.645182525
407.8040775,4.633762854
228.4584666,4.359834095
122.7069317,2.098677394
341.8199585,4.025556123
180.1920161,3.758655246
169.9280131,3.129898881
300.2077593,7.720831177
73.57286224,1.347437371
100.1951029,1.922373073
269.4571828,5.524003788
248.4494074,3.902778177
226.3873172,5.286650641
293.0618897,4.223698446
283.9914644,3.830966018
316.8054385,4.882618481
168.5298876,2.711025157
278.3680725,2.709770571
234.7795086,4.191410743
193.907749,3.536760184
105.965762,1.956862224
316.1975105,5.650356582
180.0723915,3.625090224
249.7941666,3.111859169
297.9871332,5.409250332
121.3491737,2.184684542
128.3152665,2.36598418
232.7881767,5.293201093
215.6861096,3.348476292
392.2513591,3.957179326
326.0764339,4.562101485
295.0149431,5.901234701
101.5302894,1.828206157
110.4073452,1.953741082
116.008227,1.930865116
325.7426567,4.420750807
463.0955606,6.711223614
275.1096476,5.710969253
129.5229403,2.397203911
290.1718297,4.937635441
123.0777783,2.978676152
125.2500342,2.201591463
260.2268061,4.318838124
178.0320196,2.868350037
264.5967727,4.802031229
301.4619501,4.599671075
242.3883995,3.722245222
297.4567417,5.124628338
155.9860309,2.980275265
295.2771668,8.680307583
535.9058413,7.462716874
371.14905,5.83981836
115.2199102,2.03543931
186.8098736,2.843459969
187.4578262,2.925061763
275.5899572,5.142053165
246.7754885,6.715593217
320.9271016,5.520158713
187.0951143,3.953855049
148.9830651,2.42313894
115.3692128,2.132084657
312.1083663,4.45629217
148.8957854,2.166752503
191.9516538,3.817407802
233.4110317,3.830211561
154.5735839,2.368580595
260.6293814,6.644831801
215.49476,3.516416864
135.0237144,2.42432454
317.0872509,4.288985156
120.0089,2.199344212
169.9497492,2.834927904
156.5961594,2.714829758
227.6728271,3.701228257
117.0152081,2.020312073
196.0029149,3.100246639
121.3595911,2.288246866
123.6710318,2.078933924
318.3630741,8.725831746
169.367987,3.629639245
248.4693386,3.744837248
514.7717673,4.930086692
202.550435,3.164967286
279.201153,3.998602095
305.5396232,4.202357664
202.5887209,3.378140639
265.1691487,5.565943921
122.8929511,2.231925668
446.7342222,4.69328456
144.3409241,2.767459981
163.4256287,4.206191153
325.4582695,4.058702174
216.2937065,4.544487796
310.6653236,4.238610184
193.7856065,3.234509247
165.0129435,2.728178849
94.51164722,1.695435141
271.3557721,4.100483199
201.8405741,2.917000037
207.2722019,3.80494628
250.406812,3.181711074
105.0563827,1.787238186
175.0090529,3.024316434
312.4935067,4.353200455
279.8352842,4.399030453
127.5714301,2.302218667
128.9687786,1.995828648
117.3015894,2.314957683
70.06902952,1.37723785
200.2770723,2.869981865
265.194709,3.706617525
290.2528586,3.105370232
227.7639809,4.019537973
122.6026236,2.273822809
257.3123036,5.048196923
127.9119799,2.126157136
130.156007,2.812379852
119.358752,2.115871472
132.327146,2.058340443
139.3952334,2.263744059
146.5529432,2.469125243
175.3968778,3.605497707
175.1526134,2.501671149
151.812875,2.558145255
159.8520683,2.892387061
394.6971714,7.35677313
282.4281886,3.360257993
234.5179887,4.700850325
143.5721696,2.175390889
150.4602892,2.499935361
112.061817,1.920613704
418.1741172,8.597926778
283.7816053,4.939944554
235.0940762,3.974003631
174.4551999,3.273861723
138.85776,2.200229027
254.3528114,5.777217733
636.8647818,6.247491586
139.965266,1.946430808
161.4493552,2.542172688
193.9739438,3.067778514
110.8235187,1.750557657
275.2486735,5.06779342
195.3044093,2.634557428
596.4288004,6.093951492
195.2556897,3.327515159
253.7767297,3.811238914
135.7066346,2.437371926
190.31537,3.047584779
137.5175444,2.813279354
305.5457052,2.999835917
